bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G11000100001001,110010001001,G11000100001021,110010001021,0.987650784,0.998464702,0.998403575,0.999047579,0.99832435,0.998338804,0.999639779,0.996901539
G11000100001001,110010001001,G11000100004002,110010004002,0.012349216,0.001535298,0.001596425,0.000952421,0.00167565,0.001661196,0.000360221,0.003098461
G11000100001002,110010001002,G11000100001011,110010001011,1,1,1,1,1,1,1,1
G11000100001003,110010001003,G11000100001022,110010001022,1,1,1,1,1,1,1,1
G11000100001004,110010001004,G11000100001023,110010001023,0.997671694,1,1,1,1,1,1,1
G11000100001004,110010001004,G11000100056012,110010056012,0.002328306,0,0,0,0,0,0,0
G11000100002011,110010002011,G11000100002011,110010002011,0.383874712,0,0,0,0,0,0,0
G11000100002011,110010002011,G11000100002012,110010002012,0.492260165,0.999560837,0.999559261,0.999529708,0.938579891,0.938579891,0.938579891,0.938579891
G11000100002011,110010002011,G11000100002021,110010002021,0.000153631,0.000439163,0.000440739,0.000470292,0.061420109,0.061420109,0.061420109,0.061420109
G11000100002011,110010002011,G11000100002024,110010002024,0.000179544,0,0,0,0,0,0,0
G11000100002011,110010002011,G11000100008022,110010008022,0.123531949,0,0,0,0,0,0,0
G11000100002021,110010002021,G11000100002021,110010002021,1,1,1,1,1,1,1,1
G11000100002022,110010002022,G11000100002022,110010002022,1,1,1,1,1,1,1,1
G11000100002023,110010002023,G11000100002023,110010002023,1,1,1,1,1,1,1,1
G11000100002024,110010002024,G11000100001023,110010001023,6.1847E-06,0,0,0,0,0,0,0
G11000100002024,110010002024,G11000100002012,110010002012,0.091579283,0.016502139,0.014623661,0.075604653,0.030674182,0.036614605,0.04577977,0.017330913
G11000100002024,110010002024,G11000100002024,110010002024,0.908414533,0.983497861,0.985376339,0.924395347,0.969325818,0.963385396,0.95422023,0.982669087
G11000100003001,110010003001,G11000100003001,110010003001,1,1,1,1,1,1,1,1
G11000100003002,110010003002,G11000100003002,110010003002,1,1,1,1,1,1,1,1
G11000100003003,110010003003,G11000100003003,110010003003,1,1,1,1,1,1,1,1
G11000100003004,110010003004,G11000100003004,110010003004,1,1,1,1,1,1,1,1
G11000100004001,110010004001,G11000100004001,110010004001,0.998791002,1,1,1,1,1,1,1
G11000100004001,110010004001,G11000100007022,110010007022,0.001208998,0,0,0,0,0,0,0
G11000100004002,110010004002,G11000100004002,110010004002,0.998880693,1,1,1,1,1,1,1
G11000100004002,110010004002,G11000100005013,110010005013,0.001119307,0,0,0,0,0,0,0
G11000100005011,110010005011,G11000100005011,110010005011,0.99557544,1,1,1,1,1,1,1
G11000100005011,110010005011,G11000100013044,110010013044,0.00442456,0,0,0,0,0,0,0
G11000100005012,110010005012,G11000100005012,110010005012,0.119386409,0.546462885,0.5450478,0.510088021,0.546839335,0.544982158,0.316104001,0.572867406
G11000100005012,110010005012,G11000100005013,110010005013,0.880613591,0.453537116,0.4549522,0.489911979,0.453160665,0.455017842,0.683895999,0.427132594
G11000100005021,110010005021,G11000100005021,110010005021,1,1,1,1,1,1,1,1
G11000100005022,110010005022,G11000100005022,110010005022,1,1,1,1,1,1,1,1
G11000100006001,110010006001,G11000100006001,110010006001,0.995537376,1,1,1,1,1,1,1
G11000100006001,110010006001,G11000100012004,110010012004,0.004462624,0,0,0,0,0,0,0
G11000100006002,110010006002,G11000100006002,110010006002,1,1,1,1,1,1,1,1
G11000100006003,110010006003,G11000100006003,110010006003,1,1,1,1,1,1,1,1
G11000100006004,110010006004,G11000100006004,110010006004,1,1,1,1,1,1,1,1
G11000100007011,110010007011,G11000100007041,110010007041,1,1,1,1,1,1,1,1
G11000100007012,110010007012,G11000100007031,110010007031,1,1,1,1,1,1,1,1
G11000100007013,110010007013,G11000100007032,110010007032,1,1,1,1,1,1,1,1
G11000100007014,110010007014,G11000100007022,110010007022,0.035621682,0.017982808,0.016277432,0.022613232,0.013708348,0.013436113,0.030470372,0.003187503
G11000100007014,110010007014,G11000100007042,110010007042,0.964378318,0.982017192,0.983722568,0.977386768,0.986291652,0.986563887,0.969529628,0.996812497
G11000100007021,110010007021,G11000100007021,110010007021,1,1,1,1,1,1,1,1
G11000100007022,110010007022,G11000100007022,110010007022,1,1,1,1,1,1,1,1
G11000100007023,110010007023,G11000100007023,110010007023,1,1,1,1,1,1,1,1
G11000100008011,110010008011,G11000100007031,110010007031,0.069107143,0.110810811,0.104886268,0.11965812,0.110486891,0.113610799,0,0.194078947
G11000100008011,110010008011,G11000100008032,110010008032,0.494072421,0.435220612,0.438120426,0.430890228,0.435379157,0.433850136,0.489457831,0.394464371
G11000100008011,110010008011,G11000100008033,110010008033,0.436820437,0.453968577,0.456993306,0.449451653,0.454133952,0.452539065,0.510542169,0.411456682
G11000100008012,110010008012,G11000100008041,110010008041,1,1,1,1,1,1,1,1
G11000100008013,110010008013,G11000100003003,110010003003,0.006760786,0,0,0,0,0,0,0
G11000100008013,110010008013,G11000100007021,110010007021,0.006966805,0,0,0,0,0,0,0
G11000100008013,110010008013,G11000100007032,110010007032,0.005993045,0,0,0,0,0,0,0
G11000100008013,110010008013,G11000100008031,110010008031,0.096961469,0.256556986,0.289725209,0.273224044,0.320471597,0.325982742,0.310945274,0.379844961
G11000100008013,110010008013,G11000100008043,110010008043,0.883317895,0.743443014,0.710274791,0.726775956,0.679528403,0.674017258,0.689054726,0.620155039
G11000100008014,110010008014,G11000100008021,110010008021,0,0,0,0,0,0,0,0
G11000100008014,110010008014,G11000100008042,110010008042,0.95430876,0.980601358,0.97972973,0.979166667,0.96474359,0.966360856,0.945652174,0.9921875
G11000100008014,110010008014,G11000100009022,110010009022,0.04569124,0.019398642,0.02027027,0.020833333,0.03525641,0.033639144,0.054347826,0.0078125
G11000100008021,110010008021,G11000100002024,110010002024,0.000187594,0,0,0,0,0,0,0
G11000100008021,110010008021,G11000100008021,110010008021,0.999812406,1,1,1,1,1,1,1
G11000100008022,110010008022,G11000100002011,110010002011,0.002441728,0,0,0,0,0,0,0
G11000100008022,110010008022,G11000100002012,110010002012,0.000518073,0,0,0,0,0,0,0
G11000100008022,110010008022,G11000100002024,110010002024,0.000378093,0,0,0,0,0,0,0
G11000100008022,110010008022,G11000100003003,110010003003,0.032909927,0,0,0,0,0,0,0
G11000100008022,110010008022,G11000100008022,110010008022,0.963752179,1,1,1,1,1,1,1
G11000100009011,110010009011,G11000100009041,110010009041,1,1,1,1,1,1,1,1
G11000100009012,110010009012,G11000100009042,110010009042,1,1,1,1,1,1,1,1
G11000100009013,110010009013,G11000100009031,110010009031,0.3240339,0.728015951,0.769716291,0.139012307,0.11662368,0.118601659,0.108269549,0.168687824
G11000100009013,110010009013,G11000100009032,110010009032,0.665360055,0.266633855,0.226892995,0.840920804,0.861154097,0.861574552,0.871673145,0.795597891
G11000100009013,110010009013,G11000100009042,110010009042,0.010606045,0.005350195,0.003390715,0.02006689,0.022222222,0.019823789,0.020057307,0.035714286
G11000100009021,110010009021,G11000100009021,110010009021,1,1,1,1,1,1,1,1
G11000100009022,110010009022,G11000100008042,110010008042,0.006906507,0,0,0,0,0,0,0
G11000100009022,110010009022,G11000100009022,110010009022,0.993093493,1,1,1,1,1,1,1
G11000100010011,110010010011,G11000100010041,110010010041,1,1,1,1,1,1,1,1
G11000100010012,110010010012,G11000100010042,110010010042,1,1,1,1,1,1,1,1
G11000100010013,110010010013,G11000100010031,110010010031,1,1,1,1,1,1,1,1
G11000100010014,110010010014,G11000100010043,110010010043,1,1,1,1,1,1,1,1
G11000100010015,110010010015,G11000100010032,110010010032,1,1,1,1,1,1,1,1
G11000100010016,110010010016,G11000100010033,110010010033,1,1,1,1,1,1,1,1
G11000100010021,110010010021,G11000100010021,110010010021,1,1,1,1,1,1,1,1
G11000100010022,110010010022,G11000100010023,110010010023,0.300300341,0.425877555,0.425428521,0.439094414,0.432197615,0.44199579,0.411749771,0.445641224
G11000100010022,110010010022,G11000100010024,110010010024,0.699699659,0.574122445,0.574571479,0.560905586,0.567802386,0.55800421,0.588250229,0.554358776
G11000100010023,110010010023,G11000100010021,110010010021,0.070091586,0,0,0,0,0,0,0
G11000100010023,110010010023,G11000100010022,110010010022,0.929908414,1,1,1,1,1,1,1
G11000100011001,110010011001,G11000100011001,110010011001,1,1,1,1,1,1,1,1
G11000100011002,110010011002,G11000100011002,110010011002,1,1,1,1,1,1,1,1
G11000100011003,110010011003,G11000100011003,110010011003,1,1,1,1,1,1,1,1
G11000100011004,110010011004,G11000100011004,110010011004,1,1,1,1,1,1,1,1
G11000100012001,110010012001,G11000100012001,110010012001,1,1,1,1,1,1,1,1
G11000100012002,110010012002,G11000100012002,110010012002,1,1,1,1,1,1,1,1
G11000100012003,110010012003,G11000100012003,110010012003,1,1,1,1,1,1,1,1
G11000100012004,110010012004,G11000100012004,110010012004,1,1,1,1,1,1,1,1
G11000100013011,110010013011,G11000100013011,110010013011,1,1,1,1,1,1,1,1
G11000100013012,110010013012,G11000100013011,110010013011,0.002854047,0.002949853,0.003738318,0.005235602,0.003773585,0.003636364,0.004081633,0
G11000100013012,110010013012,G11000100013012,110010013012,0.997145953,0.997050148,0.996261682,0.994764398,0.996226415,0.996363636,0.995918367,1
G11000100013013,110010013013,G11000100013013,110010013013,0.434077089,0.512654503,0.523233609,0.432773109,0.501435407,0.500448431,0.185185185,0.571261682
G11000100013013,110010013013,G11000100013014,110010013014,0.565922912,0.487345497,0.476766391,0.567226891,0.498564593,0.49955157,0.814814815,0.428738318
G11000100013021,110010013021,G11000100013031,110010013031,0.11169884,0.410932776,0.414628445,0.39517543,0.419987504,0.419759911,0.41069061,0.427196043
G11000100013021,110010013021,G11000100013032,110010013032,0.076147639,0.331471795,0.334452842,0.318761406,0.338775635,0.338592051,0.331276456,0.344590277
G11000100013021,110010013021,G11000100013034,110010013034,0.812153522,0.25759543,0.250918713,0.286063164,0.241236861,0.241648038,0.258032934,0.22821368
G11000100013022,110010013022,G11000100013041,110010013041,0.241802664,0.269936969,0.262755102,0.353070175,0.240862573,0.289406509,0.286634461,0.227423168
G11000100013022,110010013022,G11000100013042,110010013042,0.041340081,0.191301759,0.19274271,0.177925834,0.19728506,0.185126334,0.213478566,0.192530372
G11000100013022,110010013022,G11000100013043,110010013043,0.094522472,0.227284315,0.2289963,0.21139247,0.234393035,0.219947335,0.253632428,0.228744021
G11000100013022,110010013022,G11000100013044,110010013044,0.622334782,0.311476957,0.315505888,0.25761152,0.327459332,0.305519821,0.246254546,0.351302439
G11000100013023,110010013023,G11000100013033,110010013033,0.945177061,1,1,1,1,1,1,1
G11000100013023,110010013023,G11000100013034,110010013034,0.0074349,0,0,0,0,0,0,0
G11000100013023,110010013023,G11000100013042,110010013042,0.011395008,0,0,0,0,0,0,0
G11000100013023,110010013023,G11000100013044,110010013044,0.035993031,0,0,0,0,0,0,0
G11000100014011,110010014011,G11000100014011,110010014011,1,1,1,1,1,1,1,1
G11000100014012,110010014012,G11000100014012,110010014012,1,1,1,1,1,1,1,1
G11000100014021,110010014021,G11000100014021,110010014021,1,1,1,1,1,1,1,1
G11000100014022,110010014022,G11000100014022,110010014022,1,1,1,1,1,1,1,1
G11000100014023,110010014023,G11000100014023,110010014023,1,1,1,1,1,1,1,1
G11000100015001,110010015001,G11000100015001,110010015001,0.999179077,1,1,1,1,1,1,1
G11000100015001,110010015001,G11000100016004,110010016004,0.000820923,0,0,0,0,0,0,0
G11000100015002,110010015002,G11000100015002,110010015002,1,1,1,1,1,1,1,1
G11000100015003,110010015003,G11000100015003,110010015003,1,1,1,1,1,1,1,1
G11000100015004,110010015004,G11000100015004,110010015004,1,1,1,1,1,1,1,1
G11000100015005,110010015005,G11000100015005,110010015005,1,1,1,1,1,1,1,1
G11000100016001,110010016001,G11000100016001,110010016001,1,1,1,1,1,1,1,1
G11000100016002,110010016002,G11000100016002,110010016002,1,1,1,1,1,1,1,1
G11000100016003,110010016003,G11000100016003,110010016003,1,1,1,1,1,1,1,1
G11000100016004,110010016004,G11000100015001,110010015001,0.00038149,0,0,0,0,0,0,0
G11000100016004,110010016004,G11000100016004,110010016004,0.99961851,1,1,1,1,1,1,1
G11000100017021,110010017021,G11000100017021,110010017021,1,1,1,1,1,1,1,1
G11000100017022,110010017022,G11000100017022,110010017022,1,1,1,1,1,1,1,1
G11000100018031,110010018031,G11000100018031,110010018031,1,1,1,1,1,1,1,1
G11000100018031,110010018031,G11000100020012,110010020012,0,0,0,0,0,0,0,0
G11000100018032,110010018032,G11000100018032,110010018032,0.605659846,0.53019024,0.5204617,0.521352313,0.516875603,0.517560074,0.064102564,0.553701773
G11000100018032,110010018032,G11000100018033,110010018033,0.394340154,0.46980976,0.4795383,0.478647687,0.483124397,0.482439926,0.935897436,0.446298227
G11000100018041,110010018041,G11000100018041,110010018041,1,1,1,1,1,1,1,1
G11000100018042,110010018042,G11000100018042,110010018042,1,1,1,1,1,1,1,1
G11000100018043,110010018043,G11000100018043,110010018043,1,1,1,1,1,1,1,1
G11000100019011,110010019011,G11000100019011,110010019011,1,1,1,1,1,1,1,1
G11000100019012,110010019012,G11000100019012,110010019012,1,1,1,1,1,1,1,1
G11000100019013,110010019013,G11000100019013,110010019013,1,1,1,1,1,1,1,1
G11000100019014,110010019014,G11000100019014,110010019014,1,1,1,1,1,1,1,1
G11000100019021,110010019021,G11000100019021,110010019021,1,1,1,1,1,1,1,1
G11000100019022,110010019022,G11000100019022,110010019022,1,1,1,1,1,1,1,1
G11000100020011,110010020011,G11000100020011,110010020011,1,1,1,1,1,1,1,1
G11000100020012,110010020012,G11000100013011,110010013011,0,0,0,0,0,0,0,0
G11000100020012,110010020012,G11000100020012,110010020012,1,1,1,1,1,1,1,1
G11000100020021,110010020021,G11000100020021,110010020021,1,1,1,1,1,1,1,1
G11000100020022,110010020022,G11000100018042,110010018042,0.002831584,0.002743496,0.002942332,0.003145452,0.00288992,0.002973882,0.003848553,0.002244011
G11000100020022,110010020022,G11000100020022,110010020022,0.997168416,0.997256504,0.997057668,0.996854548,0.99711008,0.997026118,0.996151447,0.997755989
G11000100020023,110010020023,G11000100020023,110010020023,1,1,1,1,1,1,1,1
G11000100021011,110010021011,G11000100021011,110010021011,1,1,1,1,1,1,1,1
G11000100021012,110010021012,G11000100021012,110010021012,1,1,1,1,1,1,1,1
G11000100021013,110010021013,G11000100021013,110010021013,1,1,1,1,1,1,1,1
G11000100021014,110010021014,G11000100021014,110010021014,1,1,1,1,1,1,1,1
G11000100021015,110010021015,G11000100021015,110010021015,1,1,1,1,1,1,1,1
G11000100021021,110010021021,G11000100021021,110010021021,1,1,1,1,1,1,1,1
G11000100021022,110010021022,G11000100021022,110010021022,1,1,1,1,1,1,1,1
G11000100021023,110010021023,G11000100021023,110010021023,1,1,1,1,1,1,1,1
G11000100021024,110010021024,G11000100021024,110010021024,1,1,1,1,1,1,1,1
G11000100021025,110010021025,G11000100021025,110010021025,1,1,1,1,1,1,1,1
G11000100021026,110010021026,G11000100021024,110010021024,0.002662609,0,0,0,0,0,0,0
G11000100021026,110010021026,G11000100021026,110010021026,0.997337391,1,1,1,1,1,1,1
G11000100022011,110010022011,G11000100022011,110010022011,1,1,1,1,1,1,1,1
G11000100022012,110010022012,G11000100022012,110010022012,1,1,1,1,1,1,1,1
G11000100022013,110010022013,G11000100022013,110010022013,1,1,1,1,1,1,1,1
G11000100022021,110010022021,G11000100022021,110010022021,1,1,1,1,1,1,1,1
G11000100022022,110010022022,G11000100022022,110010022022,1,1,1,1,1,1,1,1
G11000100022023,110010022023,G11000100022023,110010022023,1,1,1,1,1,1,1,1
G11000100023011,110010023011,G11000100023011,110010023011,1,1,1,1,1,1,1,1
G11000100023012,110010023012,G11000100022021,110010022021,0.021356072,0,0,0,0,0,0,0
G11000100023012,110010023012,G11000100023012,110010023012,0.978643928,1,1,1,1,1,1,1
G11000100023021,110010023021,G11000100023021,110010023021,0.10699378,0,0,0,0,0,0,0
G11000100023021,110010023021,G11000100023022,110010023022,0.205156229,0.502946955,0.475718016,0.932989691,0.423519737,0.352193261,0.960526316,0.346804511
G11000100023021,110010023021,G11000100023023,110010023023,0.686501389,0.497053045,0.524281984,0.067010309,0.576480263,0.647806739,0.039473684,0.653195489
G11000100023021,110010023021,G11000100095111,110010095111,0.001348603,0,0,0,0,0,0,0
G11000100024001,110010024001,G11000100024001,110010024001,1,1,1,1,1,1,1,1
G11000100024002,110010024002,G11000100024002,110010024002,1,1,1,1,1,1,1,1
G11000100024003,110010024003,G11000100024003,110010024003,1,1,1,1,1,1,1,1
G11000100024004,110010024004,G11000100024004,110010024004,1,1,1,1,1,1,1,1
G11000100025011,110010025011,G11000100025011,110010025011,1,1,1,1,1,1,1,1
G11000100025012,110010025012,G11000100025012,110010025012,1,1,1,1,1,1,1,1
G11000100025021,110010025021,G11000100025031,110010025031,1,1,1,1,1,1,1,1
G11000100025022,110010025022,G11000100025032,110010025032,1,1,1,1,1,1,1,1
G11000100025023,110010025023,G11000100025041,110010025041,1,1,1,1,1,1,1,1
G11000100025024,110010025024,G11000100025042,110010025042,1,1,1,1,1,1,1,1
G11000100026001,110010026001,G11000100013033,110010013033,0.00078704,0,0,0,0,0,0,0
G11000100026001,110010026001,G11000100013044,110010013044,4.34486E-05,0,0,0,0,0,0,0
G11000100026001,110010026001,G11000100026001,110010026001,0.991372354,1,1,1,1,1,1,1
G11000100026001,110010026001,G11000100027041,110010027041,0.007797157,0,0,0,0,0,0,0
G11000100026002,110010026002,G11000100013011,110010013011,0.000341558,0,0,0,0,0,0,0
G11000100026002,110010026002,G11000100013033,110010013033,0.000543284,0,0,0,0,0,0,0
G11000100026002,110010026002,G11000100026001,110010026001,0.000157407,0,0,0,0,0,0,0
G11000100026002,110010026002,G11000100026002,110010026002,0.998957751,1,1,1,1,1,1,1
G11000100027011,110010027011,G11000100027031,110010027031,1,1,1,1,1,1,1,1
G11000100027012,110010027012,G11000100027032,110010027032,1,1,1,1,1,1,1,1
G11000100027013,110010027013,G11000100027041,110010027041,1,1,1,1,1,1,1,1
G11000100027014,110010027014,G11000100027042,110010027042,1,1,1,1,1,1,1,1
G11000100027021,110010027021,G11000100027021,110010027021,1,1,1,1,1,1,1,1
G11000100027022,110010027022,G11000100027023,110010027023,0.443766948,0.453617399,0.455689829,0.436781609,0.405102041,0.364116095,0.43697479,0.375
G11000100027022,110010027022,G11000100027024,110010027024,0.556233052,0.546382601,0.544310171,0.563218391,0.594897959,0.635883905,0.56302521,0.625
G11000100027023,110010027023,G11000100005011,110010005011,0,0,0,0,0,0,0,0
G11000100027023,110010027023,G11000100027022,110010027022,0.965672664,1,1,1,1,1,1,1
G11000100027023,110010027023,G11000100039021,110010039021,0.034327336,0,0,0,0,0,0,0
G11000100028011,110010028011,G11000100028011,110010028011,1,1,1,1,1,1,1,1
G11000100028012,110010028012,G11000100028012,110010028012,1,1,1,1,1,1,1,1
G11000100028021,110010028021,G11000100028022,110010028022,0.377294913,0.377358491,0.356225296,0.387409201,0.396177237,0.39636076,0.614942529,0.357215967
G11000100028021,110010028021,G11000100028023,110010028023,0.622705087,0.622641509,0.643774704,0.612590799,0.603822763,0.603639241,0.385057471,0.642784033
G11000100028022,110010028022,G11000100028021,110010028021,1,1,1,1,1,1,1,1
G11000100029001,110010029001,G11000100029001,110010029001,1,1,1,1,1,1,1,1
G11000100029002,110010029002,G11000100029002,110010029002,1,1,1,1,1,1,1,1
G11000100030001,110010030001,G11000100030001,110010030001,1,1,1,1,1,1,1,1
G11000100030002,110010030002,G11000100030002,110010030002,1,1,1,1,1,1,1,1
G11000100031001,110010031001,G11000100025032,110010025032,0.000303123,0.000167531,0.000198167,0.000172125,0.000239509,0.000213673,0.000292395,0.000175884
G11000100031001,110010031001,G11000100031001,110010031001,0.408714455,0.457885615,0.452644526,0.463675214,0.460852329,0.442086649,0.451905626,0.471615721
G11000100031001,110010031001,G11000100031002,110010031002,0.590982422,0.541946853,0.547157307,0.536152661,0.538908163,0.557699678,0.547801979,0.528208396
G11000100032001,110010032001,G11000100024001,110010024001,0.001737524,0.000489451,0.000491416,0.00036776,0.000451146,0.000458905,0.000292996,0.000729489
G11000100032001,110010032001,G11000100032001,110010032001,0.998262477,0.999510549,0.999508584,0.99963224,0.999548854,0.999541095,0.999707004,0.999270511
G11000100032002,110010032002,G11000100032002,110010032002,1,1,1,1,1,1,1,1
G11000100032003,110010032003,G11000100032003,110010032003,1,1,1,1,1,1,1,1
G11000100032004,110010032004,G11000100023021,110010023021,0.000928815,0,0,0,0,0,0,0
G11000100032004,110010032004,G11000100032004,110010032004,0.999071185,1,1,1,1,1,1,1
G11000100033011,110010033011,G11000100033011,110010033011,1,1,1,1,1,1,1,1
G11000100033012,110010033012,G11000100033012,110010033012,1,1,1,1,1,1,1,1
G11000100033013,110010033013,G11000100033013,110010033013,1,1,1,1,1,1,1,1
G11000100033021,110010033021,G11000100033021,110010033021,1,1,1,1,1,1,1,1
G11000100033022,110010033022,G11000100033022,110010033022,1,1,1,1,1,1,1,1
G11000100034001,110010034001,G11000100034001,110010034001,1,1,1,1,1,1,1,1
G11000100034002,110010034002,G11000100023021,110010023021,0.004054147,0,0,0,0,0,0,0
G11000100034002,110010034002,G11000100032004,110010032004,0.003419917,0,0,0,0,0,0,0
G11000100034002,110010034002,G11000100034002,110010034002,0.389086068,0,0,0,0,0,0,0
G11000100034002,110010034002,G11000100034003,110010034003,0.198504202,0.384516129,0.361474845,0.811926606,0.869918699,0.76344086,0.90228013,0.837662338
G11000100034002,110010034002,G11000100034004,110010034004,0.045835755,0.231290323,0.232598208,0.188073395,0.130081301,0.23655914,0.09771987,0.162337662
G11000100034002,110010034002,G11000100034005,110010034005,0.35909991,0.384193548,0.405926947,0,0,0,0,0
G11000100035001,110010035001,G11000100035001,110010035001,1,1,1,1,1,1,1,1
G11000100035002,110010035002,G11000100035002,110010035002,0.445073161,0.640726934,0.616915423,0.988372093,0.994490358,0.992307692,0.967213115,1
G11000100035002,110010035002,G11000100035003,110010035003,0.554926839,0.359273066,0.383084577,0.011627907,0.005509642,0.007692308,0.032786885,0
G11000100036001,110010036001,G11000100036001,110010036001,1,1,1,1,1,1,1,1
G11000100036002,110010036002,G11000100036002,110010036002,1,1,1,1,1,1,1,1
G11000100036003,110010036003,G11000100036003,110010036003,1,1,1,1,1,1,1,1
G11000100037001,110010037001,G11000100037011,110010037011,1,1,1,1,1,1,1,1
G11000100037002,110010037002,G11000100037021,110010037021,0.267919888,0.398079306,0.451948052,0.183467742,0.278501629,0.280674847,0.05907173,0.330978809
G11000100037002,110010037002,G11000100037022,110010037022,0.732080112,0.601920694,0.548051948,0.816532258,0.721498371,0.719325153,0.94092827,0.669021191
G11000100037003,110010037003,G11000100037012,110010037012,1,1,1,1,1,1,1,1
G11000100038001,110010038001,G11000100038021,110010038021,0.54313915,0.425916625,0.424358274,0.443262411,0.384406165,0.408485857,0.54517134,0.318414322
